Reason,City,City & Province,,hub,Food Hub,Total,adjusted_hungry_people,,coordinate
Food & Meals,Lake Cowichan,"Lake Cowichan, BC","Lake Cowichan BC,",,,1,3,,"48.83315,-124.0421,""Lake Cowichan BC,"",""Lake Cowichan, BC, CA"",,MapQuest,city/town"
Food & Meals,Lac La Hache,"Lac La Hache, BC","Lac La Hache BC,",,,1,5,,"51.85202,-121.62776,""Lac La Hache BC,"",""Lac La Hache Access 1, Lac La Hache, BC, CA"",,MapQuest,street"
Food & Meals,Ladysmith,"Ladysmith, BC","Ladysmith BC,",,,1,3,,"48.993477,-123.815045,""Ladysmith BC,"",""Ladysmith, BC, CA"",,MapQuest,city/town"
Food & Meals,Lillooet,"Lillooet, BC","Lillooet BC,",,,1,3,,"50.668583,-121.980462,""Lillooet BC,"",""Lillooet, BC, CA"",,MapQuest,city/town"
Food & Meals,Lions Bay,"Lions Bay, BC","Lions Bay BC,",,,1,3,,"49.460336,-123.236496,""Lions Bay BC,"",""Lions Bay, BC, CA"",,MapQuest,city/town"
Food & Meals,Black Creek,"Black Creek, BC","Black Creek BC,",,,1,5,,"49.8333,-125.133,""Black Creek BC,"",""Black Creek, BC, CA"",,MapQuest,city/town"
Food & Meals,150 Mile House,"150 Mile House, BC","150 Mile House BC,",,,1,5,,"51.643726,-121.294121,""150 Mile House BC,"",""100 Mile House, BC, CA"",,MapQuest,city/town"
Food & Meals,Burns Lake,"Burns Lake, BC","Burns Lake BC,",,,1,5,,"54.228481,-125.762394,""Burns Lake BC,"",""Burns Lake, BC, CA"",,MapQuest,city/town"
Food & Meals,Calgary,"Calgary, BC","Calgary BC,",,,1,5,,"54.144851,-125.380685,""Calgary BC,"",""BC, CA"",,MapQuest,state/province"
Food & Meals,Cobble Hill,"Cobble Hill, BC","Cobble Hill BC,",,,1,5,,"48.6833,-123.599998,""Cobble Hill BC,"",""Cobble Hill, BC, CA"",,MapQuest,city/town"
Food & Meals,Clearwater,"Clearwater, BC","Clearwater BC,",,,1,3,,"51.651004,-120.038307,""Clearwater BC,"",""Clearwater, BC, CA"",,MapQuest,city/town"
